Probe ID	Ensembl gene Id	Symbol	Description	Raw pValue	Adj pValue	logFC	Ratio
1436242_a_at	ENSMUSG00000031876, ENSMUSG00000054400	Cmtm1, Cklf	[CKLF-like MARVEL transmembrane domain containing 1 Gene [Source:MGI (curated);Acc:MGI:2447159]], [chemokine-like factor Gene [Source:MGI Symbol;Acc:MGI:1922708]]	3.61157314503768e-05	0.00662058629876615	-0.848542100165414	0.555345651100576
1438858_x_at				2.7684142695286e-05	0.00588807389576335	-0.638432348786932	0.642410621407131
1437300_at	ENSMUSG00000001419	Mef2d	[myocyte enhancer factor 2D Gene [Source:MGI (curated);Acc:MGI:99533]]	1.75906624940333e-05	0.00460239055562405	-0.607583998923554	0.656294842614865
1424863_a_at	ENSMUSG00000061436	Hipk2	[homeodomain interacting protein kinase 2 Gene [Source:MGI (curated);Acc:MGI:1314872]]	8.13185320536128e-08	0.000323378090194793	-2.47189408557594	0.180254341690294
1419462_s_at	ENSMUSG00000031796	Gtl3	[gene trap locus 3 Gene [Source:MGI Symbol;Acc:MGI:107428]]	7.27423337125504e-05	0.00914547156331895	-0.557223595337135	0.679608783978478
1437621_x_at	ENSMUSG00000053398, ENSMUSG00000082280, ENSMUSG00000081880	Phgdh, AC118721.1, RP23-344H22.1	[3-phosphoglycerate dehydrogenase Gene [Source:MGI (curated);Acc:MGI:1355330]], [], []	3.62336501837413e-06	0.00206857450245179	-2.61989470574204	0.162679604573244
1419858_at				7.86516170183051e-05	0.00969198518891414	-2.44995108338223	0.183016917335679
1455133_s_at	ENSMUSG00000040297	AI848100	[Protein osteopotentia Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q8C341]]	5.45236669819016e-05	0.00782752925195783	-0.903700475254565	0.534513957058865
1448182_a_at	ENSMUSG00000047139	Cd24a	[CD24a antigen Gene [Source:MGI Symbol;Acc:MGI:88323]]	4.47233887228519e-05	0.00725564588053721	0.644233998554432	1.56290923653632
1419595_a_at	ENSMUSG00000073987	Ggh	[gamma-glutamyl hydrolase Gene [Source:MGI (curated);Acc:MGI:1329035]]	4.51467182467538e-07	0.000962714246898148	-3.52018464814551	0.0871603229278102
1433655_at	ENSMUSG00000030788	Rnf141	[ring finger protein 141 Gene [Source:MGI Symbol;Acc:MGI:1914400]]	6.09653920891664e-05	0.00846030814957998	-2.6076253949266	0.1640690028685
1436317_at	ENSMUSG00000073678	Pgap1	[post-GPI attachment to proteins 1 Gene [Source:MGI Symbol;Acc:MGI:2443342]]	1.9785556735672e-06	0.00169629668298566	-2.38335467150598	0.191663208269164
1449056_at	ENSMUSG00000037172	E330009J07Rik	[RIKEN cDNA E330009J07 gene Gene [Source:MGI Symbol;Acc:MGI:2444256]]	1.19966720630028e-07	0.000416201466702685	-2.03093696741071	0.244696103349386
1438511_a_at	ENSMUSG00000022018	1190002H23Rik	[RIKEN cDNA 1190002H23 gene Gene [Source:MGI Symbol;Acc:MGI:1913464]]	3.23982880834126e-06	0.00205474066571502	-4.08802038285889	0.0588008009571421
1459133_at				7.83247657168344e-05	0.00967815139341082	-3.31757310460408	0.100302320994574
1418723_at	ENSMUSG00000036832	Lpar3	[lysophosphatidic acid receptor 3 Gene [Source:MGI Symbol;Acc:MGI:1929469]]	9.18491281462621e-06	0.00351058265129201	-3.93758044146868	0.0652634723541097
1433545_s_at	ENSMUSG00000090150	Acad11	[acyl-Coenzyme A dehydrogenase family, member 11 Gene [Source:MGI (curated);Acc:MGI:2143169]]	4.02330887453215e-05	0.00689451477118088	0.352129239497605	1.27644311002566
1439205_at	ENSMUSG00000027544	Nfatc2	[nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 Gene [Source:MGI (curated);Acc:MGI:102463]]	5.13917076601126e-05	0.00767701906426966	-1.14136600653533	0.453330141652697
1424291_at	ENSMUSG00000032939	Nup93	[nucleoporin 93 Gene [Source:MGI Symbol;Acc:MGI:1919055]]	3.34878237792887e-05	0.00648212163205879	0.429546967172428	1.34681058711367
1460241_a_at	ENSMUSG00000056091	St3gal5	[ST3 beta-galactoside alpha-2,3-sialyltransferase 5 Gene [Source:MGI Symbol;Acc:MGI:1339963]]	6.40867722390698e-06	0.00297793641366536	-6.46561086077667	0.0113150685821373
1435040_at	ENSMUSG00000020227	Irak3	[interleukin-1 receptor-associated kinase 3 Gene [Source:MGI (curated);Acc:MGI:1921164]]	1.95236840069122e-07	0.000550336045247343	-3.51108804505535	0.0877116298328023
1418262_at	ENSMUSG00000021457	Syk	[spleen tyrosine kinase Gene [Source:MGI Symbol;Acc:MGI:99515]]	7.03533492406845e-05	0.00908678696166863	1.15303215524958	2.22380787942479
1436193_at	ENSMUSG00000037306	Man1c1	[mannosidase, alpha, class 1C, member 1 Gene [Source:MGI (curated);Acc:MGI:2446214]]	2.56178940632609e-05	0.00574822209028423	-5.81286414315769	0.0177890818016815
1446670_at				1.1815301673268e-05	0.00383319303817184	-1.942743475605	0.260121314471451
1450357_a_at	ENSMUSG00000040899	Ccr6	[chemokine (C-C motif) receptor 6 Gene [Source:MGI Symbol;Acc:MGI:1333797]]	1.46499653344759e-06	0.00150165474215954	2.16205170104888	4.47550878755446
1420959_at	ENSMUSG00000028207	Asph	[aspartate-beta-hydroxylase Gene [Source:MGI (curated);Acc:MGI:1914186]]	4.85788500477814e-05	0.00752905400689	-2.55928157173652	0.169660006598817
1436530_at	ENSMUSG00000069792	Gm11428	[predicted gene 11428 Gene [Source:MGI Symbol;Acc:MGI:3649773]]	2.48068284143217e-06	0.00189327077788187	-3.94193511963667	0.0650667759491442
1428367_at	ENSMUSG00000054008	Ndst1	[N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1 Gene [Source:MGI Symbol;Acc:MGI:104719]]	7.68902049691392e-05	0.00955323728460922	-2.30493556926146	0.202369591757924
1435634_at	ENSMUSG00000051285	Pcmtd1	[protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 Gene [Source:MGI Symbol;Acc:MGI:2441773]]	6.88277739912244e-05	0.00902606202426235	-1.72582996967822	0.302324547632192
1416165_at	ENSMUSG00000056515	Rab31	[RAB31, member RAS oncogene family Gene [Source:MGI Symbol;Acc:MGI:1914603]]	6.25241930718507e-05	0.00857113565876455	-0.916483386426211	0.529798848646677
1441107_at	ENSMUSG00000047143	Dmrta2	[doublesex and mab-3 related transcription factor like family A2 Gene [Source:MGI (curated);Acc:MGI:2653629]]	1.39737130228029e-05	0.00418740389518329	-4.23143692435337	0.0532366306334008
1448781_at	ENSMUSG00000002881	Nab1	[Ngfi-A binding protein 1 Gene [Source:MGI Symbol;Acc:MGI:107564]]	6.7704596465266e-06	0.00299367157370584	-3.22740899538869	0.106770944398114
1457725_at				3.23026955032135e-05	0.00636193829646476	1.8077369730892	3.5009269843193
