Geneid	Chrom	Start	End	Length	chr.1	start.1	end.1	width.1	strand.1	genes	GeneSymbol	annotation
Interval_100156	chr7	28944550	28945593	1044	7	28893248	28962340	69093	-	ENSMUSG00000054808	Actn4	Promoter (1-2kb)
Interval_100696	chr7	39725224	39725954	731	7	39739998	39740529	532	-	ENSMUSG00000101901	Gm9230	Distal Intergenic
Interval_101212	chr7	47013334	47013933	600	7	47008083	47009008	926	+	ENSMUSG00000109118	Gm32031	Distal Intergenic
Interval_102735	chr7	89179416	89180371	956	7	89139714	89404222	264509	-	ENSMUSG00000039428	Tmem135	Intron (ENSMUST00000041968.10/ENSMUSG00000039428.11, intron 6 of 14)
Interval_103510	chr7	102458449	102459209	761	7	102441695	102469771	28077	+	ENSMUSG00000030978	Rrm1	Promoter (<=1kb)
Interval_104358	chr7	117699558	117700470	913	7	117380979	117673580	292602	+	ENSMUSG00000030657	Xylt1	Distal Intergenic
Interval_104359	chr7	117706614	117707170	557	7	117380979	117673580	292602	+	ENSMUSG00000030657	Xylt1	Distal Intergenic
Interval_10577	chr10	52172518	52172936	419	10	52045721	52195244	149524	-	ENSMUSG00000019893	Ros1	Exon (ENSMUST00000177378.7/ENSMUSG00000019893.11, exon 5 of 45)
Interval_10721	chr10	56712227	56713216	990	10	56656194	56656886	693	+	ENSMUSG00000045048	Gm9795	Distal Intergenic
Interval_107696	chr8	34207465	34208672	1208	8	34216859	34226145	9287	+	ENSMUSG00000100605	Gm29243	Distal Intergenic
Interval_107731	chr8	34744237	34745081	845	8	34807297	34819894	12598	+	ENSMUSG00000031530	Dusp4	Distal Intergenic
Interval_108749	chr8	70723293	70725212	1920	8	70723720	70751186	27467	+	ENSMUSG00000031842	Pde4c	Promoter (<=1kb)
Interval_109084	chr8	75154525	75156166	1642	8	75176458	75177733	1276	+	ENSMUSG00000110693	Gm45899	Distal Intergenic
Interval_109118	chr8	77380797	77381428	632	8	77250366	77517953	267588	-	ENSMUSG00000037148	Arhgap10	Intron (ENSMUST00000076316.5/ENSMUSG00000037148.8, intron 13 of 22)
Interval_109867	chr8	88642710	88643139	430	8	88647315	88688474	41160	+	ENSMUSG00000055994	Nod2	Distal Intergenic
Interval_111276	chr8	117366354	117366837	484	8	117257064	117459430	202367	+	ENSMUSG00000034390	Cmip	Intron (ENSMUST00000166750.7/ENSMUSG00000034390.15, intron 1 of 20)
Interval_111277	chr8	117367321	117367918	598	8	117257064	117459430	202367	+	ENSMUSG00000034390	Cmip	Intron (ENSMUST00000166750.7/ENSMUSG00000034390.15, intron 1 of 20)
Interval_111549	chr8	120264346	120266028	1683	8	119910841	124345722	4434882	+	ENSMUSG00000092329	Galnt2l	Intron (ENSMUST00000127664.1/ENSMUSG00000092329.1, intron 1 of 15)
Interval_111777	chr8	121848365	121849051	687	8	119910841	124345722	4434882	+	ENSMUSG00000092329	Galnt2l	Promoter (1-2kb)
Interval_111897	chr8	122707364	122707604	241	8	119910841	124345722	4434882	+	ENSMUSG00000092329	Galnt2l	Intron (ENSMUST00000127664.1/ENSMUSG00000092329.1, intron 1 of 15)
Interval_111898	chr8	122708961	122710092	1132	8	119910841	124345722	4434882	+	ENSMUSG00000092329	Galnt2l	Intron (ENSMUST00000127664.1/ENSMUSG00000092329.1, intron 1 of 15)
Interval_112085	chr8	124266946	124267383	438	8	119910841	124345722	4434882	+	ENSMUSG00000092329	Galnt2l	Intron (ENSMUST00000127664.1/ENSMUSG00000092329.1, intron 1 of 15)
Interval_115383	chr9	63721386	63722202	817	9	63646767	63757994	111228	-	ENSMUSG00000032402	Smad3	Intron (ENSMUST00000034973.9/ENSMUSG00000032402.12, intron 1 of 8)
Interval_115953	chr9	71568304	71568912	609	9	71504347	71592360	88014	-	ENSMUSG00000041361	Myzap	Intron (ENSMUST00000163998.1/ENSMUSG00000092137.7, intron 2 of 13)
Interval_11656	chr10	70200483	70201901	1419	10	70204664	70219711	15048	+	ENSMUSG00000019933	Mrln	Promoter (2-3kb)
Interval_117157	chr9	102618287	102619570	1284	9	102584588	102626534	41947	-	ENSMUSG00000032534	Cep63	Promoter (2-3kb)
Interval_117336	chr9	104482107	104483195	1089	9	104481368	104481510	143	-	ENSMUSG00000089116	Gm25904	Promoter (<=1kb)
Interval_11796	chr10	75424377	75424943	567	10	75401115	75441679	40565	+	ENSMUSG00000033427	Upb1	Exon (ENSMUST00000039925.7/ENSMUSG00000033427.13, exon 4 of 10)
Interval_118527	chr9	120578669	120579165	497	9	120577331	120578074	744	+	ENSMUSG00000052658	5830454E08Rik	Promoter (1-2kb)
Interval_118860	chr9	123844963	123845804	842	9	123789500	123851899	62400	-	ENSMUSG00000025241	Fyco1	5' UTR
Interval_120577	chrX	100425076	100425592	517	X	100402221	100442717	40497	-	ENSMUSG00000031220	Awat2	Intron (ENSMUST00000147103.1/ENSMUSG00000031220.14, intron 1 of 7)
Interval_120580	chrX	100443400	100444064	665	X	100402221	100442717	40497	-	ENSMUSG00000031220	Awat2	Promoter (<=1kb)
Interval_12234	chr10	79943440	79944052	613	10	79927043	79955018	27976	+	ENSMUSG00000019564	Arid3a	Promoter (2-3kb)
Interval_12493	chr10	81431503	81431940	438	10	81396186	81455635	59450	-	ENSMUSG00000055053	Nfic	Promoter (<=1kb)
