Geneid	Chrom	Start	End	Length	chr.1	start.1	end.1	width.1	strand.1	genes	GeneSymbol	annotation
Interval_10047	chr10	40380838	40381960	1123	10	40339564	40483818	144255	+	ENSMUSG00000038481	Cdk19	Intron (ENSMUST00000044672.10/ENSMUSG00000038481.12, intron 1 of 12)
Interval_100757	chr7	43424122	43424453	332	7	43427670	43435991	8322	+	ENSMUSG00000093639	Lim2	Distal Intergenic
Interval_102039	chr7	75649843	75650679	837	7	75455534	75754609	299076	+	ENSMUSG00000066406	Akap13	Intron (ENSMUST00000166315.6/ENSMUSG00000066406.15, intron 8 of 36)
Interval_102693	chr7	88192692	88193228	537	7	87584168	88134907	550740	+	ENSMUSG00000049583	Grm5	Distal Intergenic
Interval_102732	chr7	89171822	89172397	576	7	89139714	89404222	264509	-	ENSMUSG00000039428	Tmem135	Intron (ENSMUST00000041968.10/ENSMUSG00000039428.11, intron 6 of 14)
Interval_103299	chr7	100731103	100731622	520	7	100706635	100841656	135022	+	ENSMUSG00000029461	Fam168a	Intron (ENSMUST00000107042.8/ENSMUSG00000029461.16, intron 1 of 8)
Interval_104017	chr7	112225375	112226252	878	7	112225856	112413106	187251	+	ENSMUSG00000038244	Mical2	Promoter (<=1kb)
Interval_104019	chr7	112247368	112248503	1136	7	112225856	112413106	187251	+	ENSMUSG00000038244	Mical2	Intron (ENSMUST00000050149.11/ENSMUSG00000038244.13, intron 2 of 19)
Interval_104211	chr7	114894145	114895344	1200	7	114926959	114927726	768	-	ENSMUSG00000046411	Rps4l-ps	Distal Intergenic
Interval_104388	chr7	118282456	118283589	1134	7	118279861	118279965	105	+	ENSMUSG00000087922	Gm23229	Promoter (2-3kb)
Interval_10453	chr10	44642738	44643089	352	10	44598720	44689081	90362	+	ENSMUSG00000111535	Gm35154	Distal Intergenic
Interval_10457	chr10	44688458	44689076	619	10	44598720	44689081	90362	+	ENSMUSG00000111535	Gm35154	Distal Intergenic
Interval_10460	chr10	44703884	44704886	1003	10	44697180	44699931	2752	+	ENSMUSG00000111641	Gm47388	Distal Intergenic
Interval_10461	chr10	44708706	44709410	705	10	44715558	44717165	1608	+	ENSMUSG00000111362	Gm47389	Distal Intergenic
Interval_10470	chr10	45000007	45001639	1633	10	45006110	45007117	1008	+	ENSMUSG00000095168	Gm4795	Distal Intergenic
Interval_105432	chr7	132407168	132407643	476	7	130162451	133123350	2960900	-	ENSMUSG00000030849	Fgfr2	Intron (ENSMUST00000124096.7/ENSMUSG00000030849.18, intron 2 of 6)
Interval_106303	chr7	144531563	144532380	818	7	144476758	144553729	76972	-	ENSMUSG00000037519	Ppfia1	Intron (ENSMUST00000168134.9/ENSMUSG00000037519.17, intron 2 of 30)
